barcode;dateaccessioned;booksellerid;homebranch;price;replacementprice;itemcallnumber;holdingbranch;title;author;isbn
2256;2018-08-07;;FING;;;41;FING;Proceedings.;"Pedersen, Peder C.";0879425598
3508;2018-08-07;;FING;;;16;FING;"Seminario de métodos estadísticos multivariados.";;
3301;2018-08-07;;FING;;;55;FING;"Curso de electromedicina.";;
5982;2018-08-07;;FING;;;55;FING;"Curso de electromedicina.";;
2885;2018-08-07;;FING;;;55;FING;"Introducción a la electromedicina.";;
3303;2018-08-07;;FING;;;47;FING;"Curso de diagnóstico por imágenes.";;
1774;2018-08-07;;FING;;;43;FING;"Medical lasers and systems :";"Harris, David M.";0819407968
1114;2018-08-07;;FING;;;38;FING;"Simposio sobre calidad del aire en lugares cerrados.";;
2788;2018-08-07;;FING;;;55;FING;"Jornadas Nacionales de Ingeniería Hospitalaria.";;
1778;2018-08-07;;FING;;;47;FING;"Image processing :";"Loew, Murray H.";0819408042
1779;2018-08-07;;FING;;;47;FING;"Image capture, formatting and display :";"Kim, Yongmin";0819408050
1780;2018-08-07;;FING;;;47;FING;"PACS design and evaluation :";"Jost, R. Gilbert";0819408069
2980;2018-08-07;;FING;;;38;FING;Programa.;;
2971;2018-08-07;;FING;;;38;FING;"La seguridad en el hospital :";;8435205002
3660;2018-08-07;;FING;;;7;FING;"Simposio Internacional sobre Prevención del Sida.";;
2993;2018-08-07;;FING;;;45;FING;"The interrelationship of the immune response and cancer :";;0839105576
3697;2018-08-07;;FING;;;41;FING;Anales.;;
3698;2018-08-07;;FING;;;41;FING;Anales.;;
3699;2018-08-07;;FING;;;41;FING;Anales.;;
3702;2018-08-07;;FING;;;13;FING;"Así, la Física se ve mejor.";"Corujo, Jacinto";9506980780
3703;2018-08-07;;FING;;;13;FING;"Así, la Física se ve mejor.";"Corujo, Jacinto";9506980780
3737;2018-08-07;;FING;;;99;FING;"Nuevos paradigmas en la cardiopatía coronaria :";;
3562;2018-08-07;;FING;;;99;FING;"Seminario sobre educación y lenguaje en áreas de fronteras.";"Behares, Luis Ernesto";9974000912
3816;2018-08-07;;FING;;;63;FING;"Seminario internacional Por una Cultura de Paz : la educación y los valores de la democracia.";;
428;2018-08-07;;FING;;;41;FING;"Engeharia biomédica :";"Lima, Walter Celso de";
