barcode;dateaccessioned;booksellerid;homebranch;price;replacementprice;itemcallnumber;holdingbranch;title;author;isbn
3732;2018-08-07;;FING;;;63;FING;"Anuario del presupuesto 1999.";;9506980918
3810;2018-08-07;;FING;;;63;FING;"Anuario del presupuesto 2000.";;9506980950
3967;2018-08-07;;FING;;;59;FING;"Anuario de las actividades científicas y técnicas (1999/2000).";;9506980985
4420;2018-08-07;;FING;;;63;FING;"Anuario del presupuesto 2002 /";;
4565;2018-08-07;;FING;;;63;FING;"Anuario del presupuesto 2003 /";;
4650;2018-08-07;;FING;;;38;FING;"[Anuario 2005].";;
4807;2018-08-07;;FING;;;63;FING;"Anuario del presupuesto 2004 /";;
4893;2018-08-07;;FING;;;38;FING;"[Anuario AADAIH'06].";;
4894;2018-08-07;;FING;;;63;FING;"Anuario del presupuesto 2005.";"Larrazábal, Hugo Rómulo";
4895;2018-08-07;;FING;;;63;FING;"Anuario del presupuesto 2005.";"Larrazábal, Hugo Rómulo";
5258;2018-08-07;;FING;;;63;FING;"Anuario del presupuesto 2007.";"Arbelo, Juan Manuel";
6065;2018-08-07;;FING;;;63;FING;"Anuario del presupuesto 2012.";"Arbelo, Juan Manuel";
6202;2018-08-07;;FING;;;63;FING;"Anuario del presupuesto 2013.";"Arbelo, Juan Manuel";
4047;2018-08-07;;FING;;;63;FING;"Anuario del presupuesto 2001.";"Larrazábal, Hugo Rómulo";
4048;2018-08-07;;FING;;;63;FING;"Anuario del presupuesto 2001.";"Larrazábal, Hugo Rómulo";
