barcode;dateaccessioned;booksellerid;homebranch;price;replacementprice;itemcallnumber;holdingbranch;title;author;isbn
S57;2019-04-04;;FING;;;AI4;FING;"Efectos del paso de la corriente eléctrica por el cuerpo humano y por los animales domésticos y de cría";;9789871975501
S51;2019-04-03;;FING;;;AI4;FING;"Reglamentación para la ejecución de instalaciones eléctricas en inmuebles : ";;9789871975426
S52;2019-04-03;;FING;;;AI4;FING;"Reglamentación para la ejecución de instalaciones eléctricas en inmuebles : ";;9789506590260
S53;2019-04-03;;FING;;;AI4;FING;"Reglamentación para la ejecución de instalaciones eléctricas en inmuebles : ";;9789506590277
S54;2019-04-03;;FING;;;AI4;FING;"Reglamentación para la ejecución de instalaciones eléctricas en inmuebles : ";;9789871975389
S55;2019-04-03;;FING;;;AI4;FING;"Reglamentación para la ejecución de instalaciones eléctricas en inmuebles : ";;9789506590253
S56;2019-04-03;;FING;;;AI4;FING;"Protección contra los choques eléctricos :";;9789506590154
S1;2018-08-07;;FING;;;AI4;FING;"Medical electrical equipment :";;2831884004
S2;2018-08-07;;FING;;;AI4;FING;"Equipos electromédicos :";;
S3;2018-08-07;;FING;;;AI4;FING;"Productos sanitarios :";;
S4;2018-08-07;;FING;;;AI4;FING;"Aparatos electromédicos :";;
S5;2018-08-07;;FING;;;AI4;FING;"Aparatos electromédicos :";;
S6;2018-08-07;;FING;;;AI4;FING;"Aparatos electromédicos :";;
S7;2018-08-07;;FING;;;AI4;FING;"Aparatos para electromedicina. Aparatos de alta frecuencia de uso quirúrgico :";;
S8;2018-08-07;;FING;;;AI4;FING;"Aparatos electromédicos. Parte 1 requisitos generales de seguridad :";;
S9;2018-08-07;;FING;;;AI4;FING;"Aparatos electromédicos :";;
S10;2018-08-07;;FING;;;AI4;FING;"Aparatos electromédicos :";;
S11;2018-08-07;;FING;;;AI4;FING;"Aparatos electromédicos. Aparatos de hemodiálisis :";;
S12;2018-08-07;;FING;;;AI4;FING;"Aparatos electromédicos. Incubadoras de transporte de bebés :";;
S13;2018-08-07;;FING;;;AI4;FING;"Aparatos electromédicos :";;
S14;2018-08-07;;FING;;;AI4;FING;"Aparatos electromédicos :";;
S15;2018-08-07;;FING;;;AI4;FING;"Cilindros para gases medicinales :";;
S16;2018-08-07;;FING;;;AI4;FING;"Seguridad radiológica. Ensayo de pérdidas en bultos para el transporte seguro de materiales radiactivos :";;
S17;2018-08-07;;FING;;;AI4;FING;"Seguridad radiológica. Campanas de extracción de humos para materiales radiactivos :";;
S18;2018-08-07;;FING;;;AI4;FING;"Seguridad radiológica. Campanas de extracción de humos para materiales radiactivos :";;
S19;2018-08-07;;FING;;;AI4;FING;"Seguridad radiológica. Equipos de gammagrafía :";;
S20;2018-08-07;;FING;;;AI4;FING;"Seguridad radiológica. Telecobaltoterapia :";;
S21;2018-08-07;;FING;;;AI4;FING;"Seguridad radiológica. Telecobaltoterapia :";;
S22;2018-08-07;;FING;;;AI4;FING;"Seguridad radiológica. Dosímetros :";;
S23;2018-08-07;;FING;;;AI4;FING;"Seguridad radiológica. Fuentes radiactivas selladas :";;
S24;2018-08-07;;FING;;;AI4;FING;"Seguridad radiológica. Equipos de gammagrafía :";;
S25;2018-08-07;;FING;;;AI4;FING;"Sistemas de gestión de la calidad :";;
S26;2018-08-07;;FING;;;AI4;FING;"Gestión para el éxito sostenido de una organización :";;
S27;2018-08-07;;FING;;;AI4;FING;"Gestión de la calidad. Satisfacción del cliente :";;
S28;2018-08-07;;FING;;;AI4;FING;"Sistemas de gestión de la calidad :";;
S29;2018-08-07;;FING;;;AI4;FING;"Directrices para la selección de consultores de sistemas de gestión de la calidad y la utilización de sus servicios.";;
S30;2018-08-07;;FING;;;AI4;FING;"Laboratorio de análisis clínicos :";;
S31;2018-08-07;;FING;;;AI4;FING;"Requisitos generales para la competencia de los laboratorios de ensayo y de calibración.";;
S32;2018-08-07;;FING;;;AI4;FING;"Dispositivos biomédicos. Buenas prácticas de manufactura :";;
S33;2018-08-07;;FING;;;AI4;FING;"Dispositivos biomédicos. Buenas prácticas de manufactura :";;
S34;2018-08-07;;FING;;;AI4;FING;"Bioseguridad :";;
S35;2018-08-07;;FING;;;AI4;FING;"Clasificación de agentes infecciosos por grupo de riesgo para humanos y animales, y su relación con los niveles de bioseguridad según la actividad desarrollada :";;
S36;2018-08-07;;FING;;;AI4;FING;"Gabinetes de seguridad biológica :";;
S37;2018-08-07;;FING;;;AI4;FING;"Sistemas de gestión de calidad :";;
S38;2018-08-07;;FING;;;AI4;FING;"Aparatos electromédicos :";;
S39;2018-08-07;;FING;;;AI4;FING;"Aparatos electromédicos :";;
S40;2018-08-07;;FING;;;AI4;FING;"Dispositivos médicos :";;
2537;2018-08-07;;FING;;;AI4;FING;"Matériel biomédical :";;"212169031X | 2121690301"
2538;2018-08-07;;FING;;;AI4;FING;"Matériel biomédical :";;"2121690328 | 2121690301"
2539;2018-08-07;;FING;;;AI4;FING;"Matériel biomédical :";;"2121690336 | 2121690301"
2540;2018-08-07;;FING;;;AI4;FING;"Matériel biomédical :";;"2121690344 | 2121690301"
2541;2018-08-07;;FING;;;AI4;FING;"Matériel biomédical :";;"2121690352 | 2121690301"
833;2018-08-07;;FING;;;S1;FING;"<mil novecientos ochenta y tres>1983 Annual book of ASTM standards :";;
S41;2018-08-07;;FING;;;AI4;FING;"Implantes quirúrgicos :";;
S42;2018-08-07;;FING;;;AI4;FING;"Medical electrical equipment :";;
S43;2018-08-07;;FING;;;AI4;FING;"Equipos electromédicos :";;
S44;2018-08-07;;FING;;;AI4;FING;"Equipos electromédicos :";;
S45;2018-08-07;;FING;;;AI4;FING;"Gestión del riesgo :";;
S46;2018-08-07;;FING;;;AI4;FING;"Gestión del riesgo :";;
S47;2018-08-07;;FING;;;AI4;FING;"Medical electrical equipment :";;9782889122547
S48;2018-08-07;;FING;;;AI4;FING;"Medical electrical equipment :";;9782889127191
S49;2018-08-07;;FING;;;AI4;FING;"Medical electrical equipment :";;9782889124305
S50;2018-08-07;;FING;;;AI4;FING;"Medical electrical equipment :";;
2759;2018-08-07;;FING;;;47;FING;"Digital imaging and communications.";"Cadena Méndez, Miguel";
