barcode;dateaccessioned;booksellerid;homebranch;price;replacementprice;itemcallnumber;holdingbranch;title;author;isbn
3107;2018-08-07;;FING;;;54;FING;"Proyecto de ley de educación superior.";;
4322;2018-08-07;;FING;;;AI1;FING;"Código de comercio de la República Argentina :";;
4323;2018-08-07;;FING;;;AI1;FING;"Código de comercio de la República Argentina :";;
4324;2018-08-07;;FING;;;AI1;FING;"Código civil de la República Argentina :";;
4325;2018-08-07;;FING;;;AI1;FING;"Código civil de la República Argentina :";;
5395;2018-08-07;;FING;;;57;FING;"Código civil de la República Argentina 2010 :";;9789502020181
5397;2018-08-07;;FING;;;57;FING;"Código de comercio de la República Argentina 2010 :";"Gersovich, Carlos G.";9789502020211
6083;2018-08-07;;FING;;;57;FING;"Código civil de la República Argentina :";;9789502023144
6084;2018-08-07;;FING;;;57;FING;"Código civil de la República Argentina :";;9789502023144
6344;2018-08-07;;FING;;;57;FING;"Código civil y comercial de la Nación.";;9789870117186
6345;2018-08-07;;FING;;;57;FING;"Código civil y comercial de la Nación.";;9789870117186
6346;2018-08-07;;FING;;;57;FING;"Código civil y comercial de la Nación.";;9789870117186
6347;2018-08-07;;FING;;;57;FING;"Código civil y comercial de la Nación.";;9789870117186
6348;2018-08-07;;FING;;;57;FING;"Código civil y comercial de la Nación.";;9789870117186
2511;2018-08-07;;FING;;;45;FING;"Normas relativas a la instalación y funcionamiento de equipos generadores de rayos x.";;
2919;2018-08-07;;FING;;;57;FING;"Ley federal de educación.";;
L511;2018-08-07;;FING;;;57;FING;"Ley 26.206 Ley de educación nacional :";;
P675;2018-08-07;;FING;;;57;FING;"Constitución de la provincias de Entre Ríos.";;
