barcode,dateaccessioned,booksellerid,homebranch,price,replacementprice,itemcallnumber,holdingbranch,title,author,isbn
7234,2024-07-25,,FING,,,93,FING,Las chicas de Rosewood /,"Semrik, Osvaldo,",9789874454638
7235,2024-07-25,,FING,,,91,FING,Requiem para una madre /,"Cohen, Albert,",
7236,2024-07-25,,FING,,,92,FING,Confesiones de una máscara /,"Mishima, Yukio,",9788420665474
7237,2024-07-25,,FING,,,91,FING,Sí /,"Bernhard, Thomas",9789875035195
7054,2021-05-18,,FING,,,83,FING,El horizonte fluvial : ,,9789506983932
7056,2021-05-18,,FING,,,83,FING,"De cruces, alas y mármoles : ","Salvarezza, Luis Alberto",9789506982973
7057,2021-05-18,,FING,,,83,FING,Obra poética /,"Elías, Daniel",9789506983024
7037,2020-02-17,,FING,,,86,FING,El general en su laberinto /,"García Márquez, Gabriel",8447308375
7004,2019-12-16,,FING,,,86,FING,La lista de Schindler /,"Keneally, Thomas",9788498722703
7005,2019-12-16,,FING,,,86,FING,La hija del caníbal /,"Montero, Rosa",950852135X | 8423976696 
6939,2019-02-21,,FING,,,92,FING,El jurado /,"Grisham, John",956751013X
3964,2018-08-07,,FING,,,84,FING,"Negro, púrpura y bastón.","Miyara, Alberto",9879532333
4248,2018-08-07,,FING,,,82,FING,Contrato con el averno :,"Delicia, Pablo Javier",9874352949
4436,2018-08-07,,FING,,,83,FING,Del otro lado de la mirilla :,,9872094209
L468,2018-08-07,,FING,,,84,FING,Patria de luz :,,9506981175
L469,2018-08-07,,FING,,,AI1,FING,Patria de luz :,,9506981175
L470,2018-08-07,,FING,,,AI1,FING,Patria de luz :,,9506981175
4584,2018-08-07,,FING,,,91,FING,Poetas /,"Martí, Jorge Enrique",9506981167
4586,2018-08-07,,FING,,,90,FING,El misterio de las coincidencias :,"Zancolli, Eduardo R.",9871068190
4587,2018-08-07,,FING,,,92,FING,Amarse con los ojos abiertos.,"Bucay, Jorge",9509681881
4588,2018-08-07,,FING,,,83,FING,Génesis :,"Freire, Silvia",950968192X
