title,author,isbn,origen
"La libertad como tecnología de gobierno. Derechos, Estado y poder en el liberalismo y neoliberalismo",Beatriz Dávilo [et al].,9789506984458,bidi
Semillas de orquídeas,Víctor H. Lallana (compilador),9789506984793,bidi
Breve manual de lectura y escritura  para la universidad,Carolina Clerici,9789506984830,bidi
Manual de cálculos para el diseño de plantas de faena aví­colas,Elbio Miguel Woeffray,9789506984915,bidi
Revolución y lucha por la organización. Primera y segunda décadas de la revolución 1810 - 1829,Juan A. Vilar,9789506984328,bidi
La confederación Argentina. Época de Rosas 1829-1852,Juan A. Vilar,9789506984427,bidi
Hacia la derrota federal. La Confederación Argentina 1852-1862,Juan A. Vilar,9789506984441,bidi
Variaciones del estudiar. Desde relatos de estudiantes en Ciencias de la Educación,María Amelia Migueles [et al],9789506984229,bidi
Política y felicidad. Análisis fragmentario de una versión sobre lo imposible,Gladis Ana Catalina Martínez,9789506984335,bidi
La escuela secundaria disputa sentidos,Carina Rattero y Candela San Román (compiladoras),9789506984069,bidi
Lecturas del cuerpo-del-paciente,Carina Muñoz,9789506984434,bidi
"Paraná, rosa de otoño",Amaro Villanueva,9789506984236,bidi
Islote municipal,"Villanueva, Ortíz, Saer y otros",9789506984243,bidi
Poemas a las cosas de la calle sucia,Nicolás J. Jozami,9789506984250,bidi
Periodismos: variaciones elementales. Pensar y hacer para hacer pensar,Guillermo Alfieri y Víctor Fleitas,9789506985059,bidi
Herramientas participativas para la comunicación comunitaria. Una metodología de intervención en situación,"Pilar Espósito, Marianela Morzán, Mara Muscia e Irene Roquel (coordinadoras)",9789506985066,bidi
Cuestiones de legitimidad y legitimación en trabajo social. El caso argentino,Susana Cazzaniga,9789506985042,bidi
Intimidades monumentales de Paraná. Crónicas seleccionadas,Amaro Villanueva,9789506984816,bidi
Prácticas políticas de gobierno escolar,Gabriela Andretich (compiladora),9789506984939,bidi
Sistemas de producción de leche,Francisco Etchevers,9789506984823,bidi
Lineamientos prácticos para el ejercicio del derecho,Angelina Ferreyra de de la Rúa,9789873421532,bidi
Lecciones de Derecho Administrativo,"Altamira Gigena, Julio I.",9789875513303,bidi
Derecho Constitucional,"Barrera Buteler, Guillermo",9789875513921,bidi
Lecciones de derecho procesal constitucional,"Brugge, Juan F; Barone, Lorenzo D.",9789875513969,bidi
