title,author,isbn,origen
Sistemas realimentados de control :,"D'Azzo, John J.",842830301.0,koha_consulta
"Excarcelaciones, arrestos domiciliarios y beneficios en tiempos de coronavirus",Basílico Ricardo,1231231231230.0,bidi
COVID-19. Reflexiones jurídicas,Risso Guido I.,1231231231231.0,bidi
Libre albedrío y responsabilidad jurídica,Pastor Daniel,1231231231232.0,bidi
La gran polémica nacional,Alberdi Juan Bautista,2009875140767.0,bidi
Conflictos en la Historia Argentina Guía para su Comprensión,Hebe Clementi,2009875140813.0,bidi
Catálogo Completo Editorial Astrea,Editorial Astrea,2022070963601.0,bidi
Catálogo Astrea,AA. VV.,2022160994401.0,bidi
Tratado de Tributación. Tomo I. Derecho Tributario,Horacio A. García Belsunce (director) y otros,9505086237000.0,bidi
Tratado de Tributación. Política y economía tributaria,Vicente O. Díaz (director) y otros.,9505086415000.0,bidi
Problem solving and programming concepts.,"Sprankle, Maureen",9780024153401.0,koha
Theory and design of linear active networks.,"Natajaran, Sundaram",9780029497302.0,koha_consulta
Signal analysis in linear systems.,"Houts, Ronald C.",9780030287442.0,koha
Introduction to moderns optics.,"Fowles, Grant R.",9780030894046.0,koha
Linear systems :,"O'Flynn, Michael",9780060449254.0,koha
The second brain :,"Gershon, Michael D.",9780060930721.0,koha
Mecánica de fluidos y máquinas hidráulicas.,"Mataix, Claudio",9780063155909.0,koha_consulta
Electronic imaging systems :,"Avedon, Don",9780070024847.0,koha
Radiation therapy planning.,"Bentel, Gunilla C.",9780070051157.0,koha_consulta
MRI :,"Bisese, John H.",9780070054035.0,koha
Schaum's outline of theory and problems of differential equations.,"Bronson, Richard",9780070080195.0,koha_consulta
Schaum's outline of theory and problems of finite element analysis.,"Buchanan, George R.",9780070087149.0,koha_consulta
MRI atlas of normal anatomy.,"Chacko, Anna K.",9780070104259.0,koha
Theory and problems of feedback and control systems :,"DiStefano, Joseph J.",9780070170476.0,koha
Diagnostic imaging in internal medicine.,"Eisenberg, Ronald L.",9780070192621.0,koha
Control system design :,"Friedland, Bernard",9780070224414.0,koha
Effective use of computers in Nuclear Medicine :,"Gelfand, Michael J.",9780070230934.0,koha
Applications of operational amplifiers :,"Graeme, Jerald G.",9780070238909.0,koha
