title,author,isbn,origen
Chaotic evolution and strange attractors :,"Ruelle, David.",9780521368308,koha_consulta
Chaotic and fractal dynamics :,"Moon, F. C.,",9780471545712,koha_consulta
Óptica /,"Hecht, Eugene",9788490354926,koha_consulta
Sears y Zemansky Física universitaria :,"Young, Hugh D.",9786073221900,koha_consulta
Ingeniería de tráfico /,"Valdés González-Roldán, Antonio",9788496486775,koha_consulta
Introducción a la economía de la salud para ingenieros biomédicos /,"Martínez Licona, Fabiola Margarita",9786072813410,koha_consulta
Transporte urbano y movilidad :,"Vasconcellos, Eduardo A.",9789871435821,koha_consulta
Arquitectura limpia :,"Martin, Robert C.",9788441539907,koha_consulta
La artesanía del código limpio :,"Martin, Robert C.",9788441544994,koha_consulta
La célula. Handbook /,"Cooper, Geoffrey M.",9788418068904,koha_consulta
Fundamentals of software architecture :,"Richards, Mark",9781492043454,koha_consulta
Python a fondo /,"Ramírez Jiménez, Óscar",9786075387437,koha_consulta
Machine learning con Pytorch y Scikit-Learn :,"Raschka, Sebastian",9788426735737,koha_consulta
Organización y arquitectura de computadores /,"Stallings, William",9788489660823,koha_consulta
Emprendedor :,"Hugo Manzanilla, Victor",9781950604166,koha_consulta
¡Denunciá! :,"Ahmed, Sara,",9789874862334,koha_consulta
Introducción a la teoría feminista /,"Suárez Tomé, Danila",9789874813275,koha_consulta
Medicina de género :,"Glezerman, M.",9788417002107,koha_consulta
Ciencia de los datos :,"Jones, Herbert",9781647481445,koha_consulta
Prácticas y procesos de taller de mecanizado /,"Carrasco Moreno, José",9788426726254,koha_consulta
Bases de la ingeniería ambiental /,"Muñoz Andrés, Vicenta",9788436273625,koha_consulta
Storytelling con datos /,"Knaflic, Cole Nussbaumer",9788441539303,koha_consulta
Artificial intelligence :,"Russell, Stuart",9781292401133,koha_consulta
Python machine learning :,"Raschka, Sebastian",9781789955750,koha_consulta
Elaboración de programas de CNC para la fabricación de piezas por corte y conformado /,"Reche Perea, Manuel",9788416629732,koha_consulta
El vuelo : ,"Gómez, Roberto Julio",9789871759071,koha_consulta
Aeródromos y aeropuertos :,"Gómez, Roberto Julio",9789876861519,koha_consulta
Algorithms illuminated :,"Roughgarden, Tim",9780999282960,koha_consulta
Data warehouse systems :,"Vaisman, Alejandro",9783662651667,koha_consulta
Vías de comunicación :,"Crespo Villalaz, Carlos",9789681868581,koha_consulta
Algorithms illuminated :,"Roughgarden, Tim",9780999282908,koha_consulta
Algorithms illuminated :,"Roughgarden, Tim",9780999282922,koha_consulta
Algorithms illuminated :,"Roughgarden, Tim",9780999282946,koha_consulta
Grokking algorithms :,"Bhargava, Aditya Y.",9781617292231,koha_consulta
Hands-on blockchain for Python developers :,"Kok, Arjuna Sky",9781788627856,koha_consulta
Unit testing :,"Khorikov, Vladimir",9781617296277,koha_consulta
The Accidental Analist® :,"McDaniel, Eileen",9781477432266,koha_consulta
Radiation physics for medical physicists /,"Podgoršak, E. B.",9783319797816,koha_consulta
RDA :,"Ríos Hilario, Ana Belén",9788418105210,koha_consulta
Digital signal processing using MATLAB for students and researchers /,"Leis, John,",9780470880913,koha_consulta
Data science from Scratch :,"Grus, Joel",9781492041139,koha_consulta
Learning Python /,"Lutz, Mark",9781449355739,koha_consulta
"Hands-on machine learning with Scikit-Learn, Keras, and TensorFlow :","Géron, Aurélien",9781492032649,koha_consulta
Ingeniería ferroviaria /,"González Fernández, Francisco Javier",9788436260748,koha_consulta
Infraestructuras ferroviarias /,"López Pita, Andrés",9788498804157,koha_consulta
Evaluación ambiental estratégica :,"Gómez Orea, Domingo",9788484766766,koha_consulta
Evaluación del impacto ambiental /,"Gómez Orea, Domingo",9788484766438,koha_consulta
A common-sense guide to data structures and algorithms :,"Wengrow, Jay",9781680507228,koha_consulta
Modelos estadísticos lineales :,"Téllez Piñerez, Cristian Fernando",9789587624762,koha_consulta
RF/Microwave interaction with biological tissues /,"Vorst, A. vander",9780471732778,koha_consulta
El lenguaje unificado de modelado :,"Booch, Grady",9788478290765,koha_consulta
Intro to Python® :,"Deitel, Paul J.",9780135404676,koha_consulta
Electrotherapy of the heart :,"Schaldach, M.,",9783540553335,koha_consulta
Optimización de clustering en minería de datos :,"Bolívar Muñoz, Juan Alberto",9783659023538,koha_consulta
Logística internacional :,"David, Pierre A.",9786075224930,koha_consulta
Tecnología e ingeniería ferroviaria :,"Villaronte Fernández-Villa, Juan Antonio,",9788492954407,koha_consulta
Medical instrument design and development :,"Becchetti, Claudio",9781119952404,koha_consulta
Biomedical devices :,"Lam, Raymond H. W.",9783030242367,koha_consulta
Histología :,"Pawlina, Wojciech",9788417602659,koha_consulta
Mecánica de fluidos :,"Çengel, Yunus A.",9781456260941,koha_consulta
Crash couse in basic cataloging with RDA /,"Moulaison-Sandy, Heather",9781440837760,koha_consulta
High performance MySQL /,"Schwartz, Baron",9781449314286,koha_consulta
Circuitos eléctricos /,"Nilsson, James William",9788420544588,koha_consulta
Seguridad en el medio hospitalario /,"Hernández Pozuelo, Agustín",9788413239804,koha_consulta
Data warehouse business intelligence.,"Cardador Cabello, Antonio Luis",9788491986164,koha_consulta
El transporte de mercancías :,"Anaya Tejero, Julio Juan",9788415986553,koha_consulta
Circuitos eléctricos y aplicaciones digitales /,"Villaseñor Gómez, Jorge Raúl",9786073215152,koha_consulta
Investigación operativa /,"Raffo Lecca, E.",9786123045050,koha_consulta
Economía del transporte,"Rus Mendoza, Ginés de",9788495348081,koha_consulta
Railway management and engineering /,"Profillidis, V. A.",9780367027971,koha_consulta
Theory of functions of a complex variable /,"Markushevich, A.",9780821837801,koha_consulta
Gestión hospitalaria /,"Temes Montes, José Luis",9788448178918,koha_consulta
Mecánica vectorial para ingenieros :,"Beer, Ferdinand P.",9781456255275,koha_consulta
Técnicas de mejora continua en el transporte /,"Tolosa, Lander",9786075382579,koha_consulta
Droit de cité /,"Moreno, Carlos",9791032917053,koha_consulta
Evidence-based maintenance of medical equipment :,"Binseng, Wang",9781696005401,koha_consulta
Control aplicado con variables de estado /,"Martínez Rodríguez, Jorge Luis",9788497328036,koha_consulta
Statistical techniques for transportation engineering,"Molugaram, Kumar",9780128115558,koha_consulta
Administración estratégica :,"Hill, Charles W. L.",9786075268064,koha_consulta
Fundamentos de administración financiera /,"Brigham, Eugene F.,",9786075269368,koha_consulta
Fisiología humana /,"Costanzo, Linda S.,",9788417370367,koha_consulta
Administración de operaciones /,"Collier, David Allen",9786075268132,koha_consulta
Derecho del transporte : ,"Losada, Francisco R.",9789877062144,koha_consulta
"Fake news, true facts and legends in clinical engineering :","Binseng, Wang",9798665795478,koha_consulta
Principios de economía /,"Mankiw, N. Gregory",9786075269481,koha_consulta
Introducción a la probabilidad y estadística /,"Mendenhall, William",9786075198767,koha_consulta
SQL :,"Oppel, Andrew J.",9780071842594,koha_consulta
Derecho del transporte /,"Calleja, Martín",9789508947932,koha_consulta
Logística hospitalaria :,"Ozores Massó, Borja",9786077075691,koha_consulta
Introducción a los procesos de manufactura /,"Groover, Mikell P.",9786071512086,koha_consulta
Minería de datos :,"Pérez Marqués, María",9786076221747,koha_consulta
Fisiología humana :,"Silverthorn, Dee Unglaub",9786078546220,koha_consulta
"Transporte, operadores, redes /","Mauleón Torres, Mikel",9788499696379,koha_consulta
Ingeniería de tránsito :,"Cal y Mayor, Rafael",9786075382173,koha_consulta
Breve manual de lectura y escritura para la universidad /,"Clérici, Carolina",9789506984762,koha_consulta
Anatomía humana :,"Latarjet, Michel",9789500695886,koha_consulta
An analysis of the finite element method /,"Strang, Gilbert",9780980232707,koha_consulta
Theory of modeling and simulation :,"Zeigler, Bernard P.",9780128133705,koha_consulta
Programación orientada a objetos :,"Fontela, Carlos",9789871104086,koha_consulta
Railway transportation systems :,"Pyrgidis, Christos N.",9780367027971,koha_consulta
Sistemas de regulación y control /,"Díaz Fernández-Raigoso, Aurelio José",9788426717344,koha_consulta
Cálculo :,"Rogawski, Jon",9788429151947,koha_consulta
Data mining =,"Daza Vergaray, Alfredo",9788426724588,koha_consulta
Introduction to modeling and simulation with MATLAB® and Python /,"Gordon, Steven I.",9781498773874,koha_consulta
Análisis de balances :,"Amat, Oriol",9788417209575,koha_consulta
A MATLAB® companion to complex variables  /,"Wunsch, A. David",9781498755672,koha_consulta
Termodinámica /,"Çengel, Yunus A.",9781456269784,koha_consulta
Digital image processing :,"Gonzalez, Rafael C.",9780130085191,koha_consulta
Sears y Zemansky Física universitaria :,"Young, Hugh D.",9786074422887,koha_consulta
Gestión visual de proyectos :,"Teixidó, Jordi",9788416904808,koha_consulta
Anatomía humana :,"Latarjet, Michel",9789500695879,koha_consulta
Claves del lean management en tiempos de máxima competitividad :,"Cuatrecasas, Lluís",9788416583034,koha_consulta
Gestión de proyectos :,"Klastorin, T.",9788496998124,koha_consulta
Big data con Python :,"Caballero Roldán, Rafael",9788494897207,koha_consulta
R en profundidad :,"Marqués Asensio, Felicidad",9786076229736,koha_consulta
Cálculo :,"Stewart, James",9786075265483,koha_consulta
Física :,"Serway, Raymond A.",9786075266701,koha_consulta
Física :,"Serway, Raymond A.",9786075266695,koha_consulta
Prometheus Atlas de anatomía /,"Gilroy, Anne M.",9788498357080,koha_consulta
Química /,"Chang, Raymond",9786071513939,koha_consulta
Simulación :,"Coss Bu, Raúl",9789681815066,koha_consulta
Bioestadística :,"Daniel, Wayne W.",9789681861643,koha_consulta
Metodologías avanzadas para la planificación y mejora :,"Membrado Martínez, Joaquín",9788479788193,koha_consulta
Ingeniería de procesos y de planta :,"Cuatrecasas, Lluís",9788416904006,koha_consulta
Sears y Zemansky Física :,"Young, Hugh D.",9786073223423,koha_consulta
"Manufactura, ingeniería y tecnología :","Kalpakjian, Serope",9786073227353,koha_consulta
Como programar en C++ /,"Deitel, Paul J.",9786073227391,koha_consulta
