title,author,isbn,origen
Chaos :,"Alligood, Kathleen T.",9780387946771,koha
Analysis of observed chaotic data /,"Abarbanel, H. D. I",9780387983721,koha
Proactive innovation :,"Richter, Sergio Raúl",9798861825221,koha
Introducción a la economía de la salud para ingenieros biomédicos /,"Martínez Licona, Fabiola Margarita",9786072813410,koha
Guerra biológica y bioterrorismo /,"Lema, Pablo",9789871220687,koha
La tablet de Arquímedes /,"Carman, Christián Carlos",9789876298728,koha
El hombre en busca de sentido /,"Frankl, Viktor E.",9788425423314,koha
Ciencia de los datos :,"Jones, Herbert",9781647481445,koha
Calidad estratégica total :,"Rico, Rubén Roberto",9789505371938,koha
Grokking algorithms :,"Bhargava, Aditya Y.",9781617292231,koha
Data science from Scratch :,"Grus, Joel",9781492041139,koha
La célula /,"Cooper, Geoffrey M.",9788416042630,koha
El lenguaje unificado de modelado :,"Booch, Grady",9788478290765,koha
Intro to Python® :,"Deitel, Paul J.",9780135404676,koha
Elementos de fisiología humana /,"Coviello, Alfredo",9789506550219,koha
La promesa de la felicidad :,"Ahmed, Sara,",9789871622719,koha
Contra-pedagogías de la crueldad /,"Segato, Rita",9789878451114,koha
La divina comedia /,"Alighieri, Dante",9788415089551,koha
Fontanarrosa y los médicos,"Fontanarrosa, R.",,koha
Ecología :,"Fuentes Quezada, Eduardo",,koha
Miedo a la Física :,"Krauss, Lawrence M.,",9789561313347,koha
Química analítica /,"Higson, Séamus",9789701061527,koha
El pensamiento científico /,"Geymonat, Ludovico",,koha
Data mining =,"Daza Vergaray, Alfredo",9788426724588,koha
Prometheus Atlas de anatomía /,"Gilroy, Anne M.",9788498357080,koha
Mecánica vectorial para ingenieros :,"Beer, Ferdinand P.",9781456255275,koha
Mecánica de fluidos :,"Çengel, Yunus A.",9781456260941,koha
Fundamentos de administración financiera /,"Brigham, Eugene F.,",9786075269368,koha
Matemática...¿estás ahí? :,"Paenza, Adrián",9789876291224,koha
Historias del inframundo biológico :,"Wall, Luis Gabriel",9789876299947,koha
Big data :,"Sosa Escudero, Walter",9789876298995,koha
Anatomía humana :,"Latarjet, Michel",9789500695886,koha
Anatomía humana :,"Latarjet, Michel",9789500695879,koha
"Transporte, operadores, redes /","Mauleón Torres, Mikel",9788499696379,koha
Fisiología del deporte y el ejercicio /,"Kenney, W. Larry",9780736087728,koha
"Bioseguridad, bioingenieria y residuos de establecimientos de salud :","Favant, José Luis",9789506982072,koha
Breve manual de lectura y escritura para la universidad /,"Clérici, Carolina",9789506984762,koha
Cálculo :,"Rogawski, Jon",9788429151947,koha
El hombre mediocre /,"Ingenieros, José,",9789874560360,koha
Termodinámica /,"Çengel, Yunus A.",9781456269784,koha
Tratamiento digital de imágenes / ,"Gonzalez, Rafael C.",9780201625769,koha
Física :,"Serway, Raymond A.",9786075266701,koha
Física :,"Serway, Raymond A.",9786075266695,koha
Química /,"Chang, Raymond",9786071513939,koha
Unidades de carga en el transporte /,"Soler, David",9786076226131,koha
Científicas :,"Edelsztein, Valeria Carolina",9789876292412,koha
Un científico en el museo de arte moderno,"Plata Rosas, Luis Javier",9789876291972,koha
"Plantas, bacterias, hongos, mi mujer, el cocinero y su amante :","Wall, Luis Gabriel",9789871220250,koha
¡Qué porquería las hormonas! :,"Calvo, Juan Carlos",9789876291668,koha
En busca de la mente :,"Dehaene, Stanislas",9789876298773,koha
Ahí viene la plaga :,"Lozano, Mario E.",9789871105694,koha
La física cuántica :,"Paz, Juan Pablo",9789876297264,koha
Metodología de la investigación :,"Hernández Sampieri, Roberto",9781456260965,koha
Sears y Zemansky Física :,"Young, Hugh D.",9786073223423,koha
Manual de negociación y resolución de conflictos: ,"Villa, Juan Pablo",9788416583294,koha
Transporte de mercancías peligrosas :,"Carmona Pastor, F.",9788479785116,koha
Tomografía por emisión de positrones y CT: ,"Levi de Cabrejas, Mariana",9789873312540,koha
Mapping sobre arquitectura heterogéneas /,"De Giusti, Laura",9789503407226,koha
Extracción de conocimiento en grandes bases de datos utilizando estrategias adaptativas /,"Hasperué, Waldo",9789871985296,koha
