Carrera,Asignatura,titulo,autor
Tecnicatura Universitaria en Procesamiento y Explotación de Datos,Algebra y Cálculo,algebra lineal,"grossman, stanley i"
Tecnicatura Universitaria en Procesamiento y Explotación de Datos,Algebra y Cálculo,precálculo,"stewart, james"
Tecnicatura Universitaria en Procesamiento y Explotación de Datos,Algebra y Cálculo,cálculo de una variable,"stewart, james"
Tecnicatura Universitaria en Procesamiento y Explotación de Datos,lnformática Básica ,el tutorial de python,python software foundation
Tecnicatura Universitaria en Procesamiento y Explotación de Datos,lnformática Básica ,la biblioteca estándar de python,python software foundation
Tecnicatura Universitaria en Procesamiento y Explotación de Datos,lnformática Básica ,referencia del lenguaje python,python software foundation
Tecnicatura Universitaria en Procesamiento y Explotación de Datos,Algoritmos y Estructuras de Datos ,estructuras de datos y algoritmos,"aho, alfred v"
Tecnicatura Universitaria en Procesamiento y Explotación de Datos,Algoritmos y Estructuras de Datos ,grokking algorithms,"bhargava, aditya y"
Tecnicatura Universitaria en Procesamiento y Explotación de Datos,Algoritmos y Estructuras de Datos ,introduction to algorithms,"cormen, t. h"
Tecnicatura Universitaria en Procesamiento y Explotación de Datos,Algoritmos y Estructuras de Datos ,hands-on blockchain for python developers,"kok, arjuna sky"
Tecnicatura Universitaria en Procesamiento y Explotación de Datos,Algoritmos y Estructuras de Datos ,solución de problemas con algoritmos y estructuras de datos usando python,"miller, b"
Tecnicatura Universitaria en Procesamiento y Explotación de Datos,Aspectos Legales del Uso de la Información ,tratado de derecho constitucional,rosatti horacio
Tecnicatura Universitaria en Procesamiento y Explotación de Datos,Aspectos Legales del Uso de la Información ,código civil y comercial de la nación,"lorenzetti, ricardo luis"
Tecnicatura Universitaria en Procesamiento y Explotación de Datos,Aspectos Legales del Uso de la Información ,derecho procesal administrativo,tomás hutchinson
Tecnicatura Universitaria en Procesamiento y Explotación de Datos,Aspectos Legales del Uso de la Información ,acerca de la reflexión humana. la necesidad de detenernos y partir de la ignorancia,guillermo magi
Tecnicatura Universitaria en Procesamiento y Explotación de Datos,Aspectos Legales del Uso de la Información ,tratado de derecho administrativo 5,agustín a. gordillo
Tecnicatura Universitaria en Procesamiento y Explotación de Datos,Aspectos Legales del Uso de la Información ,"desregulación, entre el derecho y la economía",jorge eduardo bustamante
Tecnicatura Universitaria en Procesamiento y Explotación de Datos,Aspectos Legales del Uso de la Información ,sistema económico y rentístico,"alberdi, juan b"
Tecnicatura Universitaria en Procesamiento y Explotación de Datos,Aspectos Legales del Uso de la Información ,manual de derecho procesal civil,lino e. palacio
Tecnicatura Universitaria en Procesamiento y Explotación de Datos,Aspectos Legales del Uso de la Información ,contratos administrativos,"silva censio, jorge a"
Tecnicatura Universitaria en Procesamiento y Explotación de Datos,Aspectos Legales del Uso de la Información ,"nuevos principios de comercio internacional, para actuar en escenarios globalizados",ledesma carlos a
Tecnicatura Universitaria en Procesamiento y Explotación de Datos,Probabilidad y Estadística ,introducción a la probabilidad y estadística,"mendenhall, william"
Tecnicatura Universitaria en Procesamiento y Explotación de Datos,Probabilidad y Estadística ,estadística para todos,"ramos, eva"
Tecnicatura Universitaria en Procesamiento y Explotación de Datos,Probabilidad y Estadística ,probabilidad y estadística: enfoque por competencias,"gutierrez banegas, a. l"
Tecnicatura Universitaria en Procesamiento y Explotación de Datos,Espacio Integrador I,la investigación cualitativa y el análisis computarizado de datos,"echevarría, hugo darío"
Tecnicatura Universitaria en Procesamiento y Explotación de Datos,Espacio Integrador I,elementos de muestreo,"scheaffer, richard l"
Tecnicatura Universitaria en Procesamiento y Explotación de Datos,Espacio Integrador I,tratamiento matemático de datos físico-químicos,"spiridinov, v.p"
Tecnicatura Universitaria en Procesamiento y Explotación de Datos,Espacio Integrador I,computadoras y procesamiento de datos,"villanueva-lara, julio e"
Tecnicatura Universitaria en Procesamiento y Explotación de Datos,Espacio Integrador I,introducción a la programación y a las estructuras de datos,"braunstein, silvia l"
Tecnicatura Universitaria en Procesamiento y Explotación de Datos,Espacio Integrador I,introducción a la estadística,sheldom m. ross
Tecnicatura Universitaria en Procesamiento y Explotación de Datos,Espacio Integrador I,procesamiento de datos y análisis estadísticos,"castañeda, ma. belén"
