titulo,autor,origen
"la libertad como tecnología de gobierno derechos, estado y poder en el liberalismo y neoliberalismo",beatriz dávilo [et al],bidi
semillas de orquídeas,víctor h. lallana (compilador),bidi
breve manual de lectura y escritura  para la universidad,carolina clerici,bidi
manual de cálculos para el diseño de plantas de faena aví­colas,elbio miguel woeffray,bidi
revolución y lucha por la organización primera y segunda décadas de la revolución 1810 - 1829,juan a. vilar,bidi
la confederación argentina época de rosas 1829-1852,juan a. vilar,bidi
hacia la derrota federal la confederación argentina 1852-1862,juan a. vilar,bidi
variaciones del estudiar desde relatos de estudiantes en ciencias de la educación,maría amelia migueles [et al],bidi
política y felicidad análisis fragmentario de una versión sobre lo imposible,gladis ana catalina martínez,bidi
la escuela secundaria disputa sentidos,carina rattero y candela san román (compiladoras),bidi
lecturas del cuerpo-del-paciente,carina muñoz,bidi
"paraná, rosa de otoño",amaro villanueva,bidi
islote municipal,"villanueva, ortíz, saer y otros",bidi
poemas a las cosas de la calle sucia,nicolás j. jozami,bidi
periodismos variaciones elementales pensar y hacer para hacer pensar,guillermo alfieri y víctor fleitas,bidi
herramientas participativas para la comunicación comunitaria una metodología de intervención en situación,"pilar espósito, marianela morzán, mara muscia e irene roquel (coordinadoras)",bidi
cuestiones de legitimidad y legitimación en trabajo social el caso argentino,susana cazzaniga,bidi
intimidades monumentales de paraná crónicas seleccionadas,amaro villanueva,bidi
prácticas políticas de gobierno escolar,gabriela andretich (compiladora),bidi
sistemas de producción de leche,francisco etchevers,bidi
lineamientos prácticos para el ejercicio del derecho,angelina ferreyra de de la rúa,bidi
lecciones de derecho administrativo,"altamira gigena, julio i",bidi
derecho constitucional,"barrera buteler, guillermo",bidi
lecciones de derecho procesal constitucional,"brugge, juan f; barone, lorenzo d",bidi
autoeficacia del profesor universitario,prieto navarro,bidi
mecatrónica - sistemas de control electrónico en la ingeniería mecánica y eléctrica 6ª edición,bolton,bidi
mecánica del medio continuo en la ingeniería - teoría y problemas resueltos,vvaa,bidi
álgebra lineal básica para ingeniería civil,francisco rubio,bidi
introducción a la ingeniería industrial,gonzáles,bidi
"arduino - aplicado en robótica, mecatrónica e ingenierías",reyes,bidi
didáctica universitaria en entornos virtuales,bautista,bidi
mapas conceptuales - la gestión del conocimiento en la didáctica - 2ª ed,virgilio hernández,bidi
técnicas de estudio,mavilo calero,bidi
fundamentos de ingeniería estructural,vvaa,bidi
"python con aplicaciones a las matemáticas, ingeniería y finanzas",baez,bidi
